"image","afraid","angry","delighted","disgusted","happy","joyful","nervous","prideful","sad","scared","surprised","threatened"
"d4",2,3,1,3,1,1,2,1,3,1,2,2
"e1",1,1,1,1,1,1,1,1,1,1,1,1
"e1",1,1,4,1,3,4,1,3,1,1,1,1
"e1",1,1,1,1,1,1,1,2,1,1,1,1
"e1",4,4,3,3,3,3,3,3,2,2,3,1
"e1",1,1,1,1,1,1,1,1,1,1,1,1
"e1",1,1,2,1,2,2,1,5,1,1,4,1
"e1",1,1,1,1,1,1,1,1,1,1,5,1
"e1",1,1,1,1,1,1,1,1,1,1,1,1
"e1",1,1,5,1,5,4,1,5,1,1,1,1
"e1",1,1,1,1,1,1,1,1,1,1,1,1
"e1",1,1,1,1,1,1,1,1,1,1,1,1
"e1",1,1,1,1,1,1,1,1,1,1,1,1
"e1",1,1,3,1,1,3,1,1,1,1,1,1
"e1",1,1,1,1,1,1,1,1,1,1,1,1
"e1",1,1,1,1,1,1,1,1,1,1,1,1
"e1",1,1,1,1,1,1,1,1,1,1,1,1
"e1",1,1,1,1,2,1,1,2,1,1,1,1
"e1",1,1,1,1,1,1,1,1,1,1,1,1
"e1",1,1,1,1,1,1,1,1,1,1,1,1
"e1",1,1,2,1,1,1,1,3,1,1,2,1
"e2",1,1,1,1,3,2,1,2,1,1,2,1
"e2",1,1,1,1,1,1,1,1,1,1,1,1
"e2",1,1,1,1,1,1,1,1,1,1,1,1
"e2",1,1,1,1,1,1,1,1,1,1,1,1
"e2",1,1,1,1,1,1,1,3,1,1,1,1
"e2",1,1,1,3,2,3,1,3,1,1,1,1
"e2",3,3,3,3,3,3,3,3,3,3,3,3
"e2",1,1,3,1,3,4,1,4,1,1,1,1
"e2",1,1,4,1,4,3,1,2,1,1,4,1
"e2",1,1,3,1,3,1,1,1,1,1,1,1
"e2",1,1,5,1,5,5,1,5,1,1,1,1
"e2",1,1,1,1,3,3,1,5,1,1,1,1
"e2",1,1,1,1,1,1,1,3,1,1,1,1
"e2",1,1,1,1,1,1,1,1,1,1,1,1
"e2",1,1,2,1,1,1,1,1,1,1,1,1
"e2",1,1,4,1,4,4,1,1,1,1,1,1
"e2",1,1,2,1,3,1,1,3,2,1,2,1
"e2",1,1,1,1,1,1,1,1,1,1,1,1
"e2",1,1,1,1,1,1,1,1,1,1,1,1
"e2",1,1,1,1,1,1,1,1,1,1,1,1
"e3",1,1,1,1,1,1,1,1,1,1,1,1
"e3",4,2,3,3,3,3,3,2,3,4,3,4
"e3",1,1,1,1,1,1,1,2,1,1,1,1
"e3",1,1,2,1,2,1,1,1,1,1,2,1
"e3",1,1,2,1,2,2,1,5,1,1,4,1
"e3",1,1,1,1,1,2,1,2,1,1,2,1
"e3",1,1,4,1,4,4,1,4,3,1,3,1
"e3",1,1,1,1,1,1,1,2,1,1,1,1
"e3",1,1,1,1,1,1,1,1,1,1,1,1
"e3",1,1,1,1,1,1,1,3,1,1,1,1
"e3",3,3,3,3,3,3,3,3,3,3,3,3
"e3",1,1,3,1,3,3,1,3,1,1,1,1
"e3",1,1,1,1,1,1,1,1,1,1,1,1
"e3",1,1,1,1,1,1,1,1,1,1,1,1
"e3",1,1,1,1,1,1,1,1,1,1,1,1
"e3",3,3,3,3,3,3,3,3,3,3,3,3
"e3",3,3,2,1,1,3,2,3,3,3,2,2
"e3",1,1,4,3,3,1,1,3,1,1,1,1
"e3",1,1,1,1,2,1,1,1,1,1,1,2
"e3",1,1,2,1,3,3,1,1,2,1,1,1
"e4",1,1,1,1,1,1,1,1,1,1,1,1
"e4",3,3,3,3,3,3,3,3,3,3,3,3
"e4",1,1,2,1,1,1,1,2,1,1,3,1
"e4",1,1,1,1,1,1,1,1,1,1,1,1
"e4",3,4,3,3,3,4,4,3,2,3,3,4
"e4",1,1,1,1,1,1,1,1,1,1,1,1
"e4",1,1,3,1,3,3,1,1,1,1,3,1
"e4",1,1,1,1,1,1,1,1,1,1,1,1
"e4",1,1,1,1,1,1,1,1,1,1,1,1
"e4",1,1,1,1,1,1,1,1,1,1,1,1
"e4",1,1,1,1,1,1,1,2,1,1,1,1
"e4",1,2,2,1,3,3,1,1,1,1,2,2
"e4",1,1,1,1,1,1,1,1,1,1,1,1
"e4",1,1,1,1,1,1,1,1,1,1,1,1
"e4",1,1,1,1,1,1,1,1,1,1,1,1
"e4",1,1,1,1,1,1,1,1,1,1,1,1
"e4",1,1,1,1,1,1,1,1,1,1,2,1
"e4",1,1,1,1,1,1,1,1,1,1,1,1
"e4",1,1,1,1,1,1,1,1,1,1,2,1
"e4",1,1,1,1,1,2,1,3,1,1,2,1
"f1",1,1,4,1,4,4,1,1,1,1,1,1
"f1",1,1,3,1,5,4,1,3,1,1,3,1
"f1",1,1,4,1,3,3,1,1,1,1,1,1
"f1",1,1,1,1,4,5,1,3,1,1,1,1
"f1",1,1,4,1,4,3,1,3,1,1,3,1
"f1",1,1,3,1,3,4,2,4,1,1,4,1
"f1",1,1,3,1,3,3,1,1,1,1,1,1
"f1",1,1,4,1,5,5,1,5,1,1,3,1
"f1",1,1,4,1,4,4,1,4,1,1,2,1
"f1",1,1,4,1,5,5,1,3,2,1,1,1
"f1",1,1,5,1,5,1,1,1,1,1,1,1
"f1",1,1,4,1,4,4,1,1,1,1,1,1
"f1",1,1,3,1,4,4,1,3,1,1,5,1
"f1",1,1,4,1,5,5,1,3,1,1,1,1
"f1",1,1,5,1,4,3,1,1,1,1,2,1
"f1",1,1,4,1,4,4,1,2,1,1,1,1
"f1",1,1,5,1,5,5,1,4,1,1,3,1
"f1",1,1,4,1,5,5,1,2,1,1,2,1
"f1",1,1,5,1,5,5,1,1,1,1,1,1
"f1",1,1,3,1,4,4,1,1,1,1,1,1
"f2",1,1,1,3,3,2,1,2,1,1,2,1
"f2",1,1,5,1,4,4,1,1,1,1,2,1
"f2",1,1,4,1,4,4,1,1,1,1,1,1
"f2",2,1,1,1,2,1,2,1,1,1,4,1
"f2",1,1,3,1,3,5,1,3,1,2,3,4
"f2",1,1,1,2,3,3,1,1,1,1,1,1
